created_at;id;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;geo;lang;user_id_str;conversation_id;conversation_id_str;media_url_https;media_type;username;annotate;
Tue May 30 07:50:20 +0000 2023;1.66345E+18;1.66345E+18;@LANGKAHANIES @jokowi Bukannya di kota besar seperti jakarta jalan nya pada di rusak gara gara ada sumur resaan itu ya terus perawatan yang kurang bagus juga yang menimbulkan mobil terperosok lah apa lah, itu kan pemimpinnya pak aniss, apa membiarkan anak;0;0;0;0;;in;3558100944;1.66337E+18;1.66337E+18;;;CepiHdht;0;
Tue May 30 08:12:18 +0000 2023;1.66346E+18;1.66346E+18;"jadi inget scene di novel assalamualaikum calon imam, fisya di gendong alif karena sepatunya rusak dan mobilnya mogok trs melipir ke drive thru, fisya nanya emg gapapa? kan kita jalan"" trs dijawab alif ""u driving me rn"" SKSKSKSK😭🙏🏻""";0;0;0;0;;in;1.05759E+18;1.66346E+18;1.66346E+18;;;ayamaniss;1;
Tue May 30 08:00:59 +0000 2023;1.66346E+18;1.66346E+18;Jalan rusak ramai disorot setelah Presiden Joko Widodo turun langsung mengecek kondisi jalan di sebagian wilayah Sumatera. Jalan rusak sebetulnya problem menahun. Bisa mengakses jalan mulus, jadi mimpi sebagian warga selama puluhan tahun. \n\n#BerkasKompas;0;3;1;2;;in;71436318;1.66346E+18;1.66346E+18;;;KompasTV;1;
Tue May 30 07:36:06 +0000 2023;1.66345E+18;1.66345E+18;Pigai Kecewa Ganjar Tegur Seniman yang Viralkan Jalan Rusak di Jateng: Belum Jadi Presiden Saja... https://t.co/t4csEQrUoO;0;0;0;0;;in;1.22543E+18;1.66345E+18;1.66345E+18;;;RepelitaO;0;
Tue May 30 08:01:00 +0000 2023;1.66346E+18;1.66346E+18;Tak terpenuhinya akses jalan sebagai infrastruktur dasar, membuat warga menderita. Jalan rusak merampas hak mereka, mulai dari hak mengakses layanan kesehatan hingga pendidikan, dan juga menghambat perekonomian. Mengapa negara lambat mengatasinya?\n\n#BerkasKompas;0;1;0;0;;in;71436318;1.66346E+18;1.66346E+18;;;KompasTV;0;
Tue May 30 08:16:34 +0000 2023;1.66346E+18;1.66346E+18;"KONDISI JALAN NASIONAL PADANG LAMO"" DI KABUPATEN TEBO PROVINSI JAMBI #jalanrusak #jalanpadanglamo #tebo #jambi https://t.co/kH0U0iPW9S""";0;0;0;0;;in;9.64561E+17;1.66346E+18;1.66346E+18;https://pbs.twimg.com/ext_tw_video_thumb/1663459325212512256/pu/img/7wSfrNY2eQcm7HXU.jpg;photo;portal_tebo;0;
Mon May 29 09:41:21 +0000 2023;1.66312E+18;1.66312E+18;Saat pertama jumpa dgn Dirut KA, saya bertanya apa bapak pernah ngerasain naik kereta ekonomi dan duduk di kursi 90 derajat itu? \n\nPak Dirut bilang pernah, nanti akan kita ganti. Ia menangis saat baca berita ibu hamil kelelahan naik tangga stasiun. Saya melihat airmatanya. https://t.co/7WiwPumqqJ;143;191;999;3651;;in;36321448;1.66312E+18;1.66312E+18;https://pbs.twimg.com/media/FxSVKegaUAAfB3T.jpg;photo;fajarnugros;1;
Tue May 30 05:17:18 +0000 2023;1.66341E+18;1.66341E+18;@DirjenAntiAging @1shibalannyeong @ayiiSANTOSO @jogmfs jd inget pngalaman KKN dlu, ada siswa yg mesti jalan 2Km dn berangkat pake sendal dlu, soalnya pke spatu bisa cpet rusak. pergi jg pake kaos krna keringetan ktanya. klo ujan gede suka izin g sekolah. ;0;0;0;2;;in;1.00358E+18;1.66339E+18;1.66339E+18;;;nadyaaulfah;0;
Tue May 30 05:27:31 +0000 2023;1.66342E+18;1.66342E+18;@FaGtng @KejaksaanRI @ST_Burhanuddin Apanya kerjaanmu saat jadi Gubernur Anis .......!\nJalan kau lubangi hingga rusak, KJP Plus kalian tilap. Bantuan sosial kau salurkan ke ormas keagamaan dan ormas radikal.\nMasih berniat pula kau ke RI 1 ?;0;0;0;0;;in;3192271640;1.66315E+18;1.66315E+18;;;marpaung913;0;
Tue May 30 07:20:02 +0000 2023;1.66345E+18;1.66345E+18;@tvOneNews tidak hanya masalah ekonomi, infrastruktur, jalan propinsi msh banyak yg rusak, peredaran narkoba di jawa tengah sangat tinggi...;0;0;0;0;;in;1.60724E+18;1.66321E+18;1.66321E+18;;;NASatria07;0;
Tue May 30 06:52:23 +0000 2023;1.66344E+18;1.66344E+18;Sekretaris Daerah Bandar Lampung Bantah Jalan Baru yang Diperbaiki Rusak... https://t.co/CRHtfgamaU lewat @YouTube;0;0;0;0;;in;4021828466;1.66344E+18;1.66344E+18;;;KompasTV_LPG;0;
Tue May 30 06:30:28 +0000 2023;1.66343E+18;1.66343E+18;Ngerasa bgt engap pas naik di st bekasi buset cape jalannya. Nah pas turun udah seneng ada eskalator lah rusak jadi jalan lagi -_-;0;0;0;0;;in;156264149;1.66343E+18;1.66343E+18;;;ticuun;0;
Tue May 30 07:06:52 +0000 2023;1.66344E+18;1.66344E+18;Murka Ganjar Janji Bangun Ruas Jalan di Banten, Warganet: Jateng Saja Banyak Jalan Rusak\nhttps://t.co/J7OPcFuiZl;0;0;0;1;;in;7.2931E+17;1.66344E+18;1.66344E+18;;;TajukPolitik;0;
Tue May 30 05:32:29 +0000 2023;1.66342E+18;1.66342E+18;Babinsa Koramil Kahut Bersama Kades dan Warga Perbaiki Jalan Rusak https://t.co/pFPJ63bSAf #News #Berita #Kabar #Popular #klikwarta #InfoMasyarakat #viral;0;0;0;0;;in;8.23779E+17;1.66342E+18;1.66342E+18;;;klikwarta_com;1;
Tue May 30 05:35:52 +0000 2023;1.66342E+18;1.66342E+18;@tawajkt Dmn2 ruko dimanfaatkan, dijadikan sumber pendapatan oknum2. Klo diceritain mah sedih pak. IPL 3x lipat dibandingkan perumahannya, ormas2 pungut iuran sebulan bs 5x, jalan dan got rusak tanggung jawab ruko.;1;0;0;1;;in;1.66175E+18;1.66341E+18;1.66341E+18;;;fua_fia;0;
Tue May 30 05:21:24 +0000 2023;1.66342E+18;1.66342E+18;@ganjarpranowo Dari jalan yang rusak kita belajar .......................;0;1;0;1;;in;103447708;1.66339E+18;1.66339E+18;;;NickmalHakim_;0;
Tue May 30 07:00:00 +0000 2023;1.66344E+18;1.66344E+18;Warga di Tana Toraja, Sulawesi Selatan (Sulsel) tagih janji proyek jalan yang tidak kunjung diperbaiki. Mereka melempari kantor Bupati dengan lumpur yang diambil langsung dari lokasi jalan rusak. YLD\n\n#SeputariNews #RCTI #Proyek #JalanRusak #TanaToraja #UnjukRasa #Mahasiswa https://t.co/k2Jt5UNc8F;0;0;0;3;;in;375995332;1.66344E+18;1.66344E+18;https://pbs.twimg.com/media/FxWpc5dagAE0VXP.jpg;photo;SeputariNews;0;
Tue May 30 05:50:48 +0000 2023;1.66342E+18;1.66342E+18;buat yg terusik dgn tweet ini, disentil dgn: silakan kalo mau diborong semua\n\nfyi, fakta pemkab Bojonegoro sudah melakukannya. silakan cek.\n\ngotongroyong kebut bangun jalan, menyongsong Pak Jokowi berkunjung ke Ngawi dari Ngloram lewat jalur JTBB, jalan ini kondisi rusak parah https://t.co/zAHMBWdoHE;0;0;0;0;;in;209885526;1.66342E+18;1.66342E+18;https://pbs.twimg.com/media/FxWqGkVaMAAsIbm.jpg;photo;gloryofnirdev;1;
Tue May 30 05:37:21 +0000 2023;1.66342E+18;1.66342E+18;@tanyarlfes Ini ya, walaupun kosong ga dipake, biaya adminnya tetep jalan tau. Udh gituuu, ditumpuk dan dia ga non aktif sendiri. Huhu punya gue numpuk dan bikin rusak BI Check;0;0;0;0;;in;1.07888E+18;1.66337E+18;1.66337E+18;;;chanrise26;0;
Tue May 30 05:31:44 +0000 2023;1.66342E+18;1.66342E+18;Prihatin Jalan Rusak, Warga Desa Kejene Bangun Jalan Sendiri Dengan Iuran Warga\n https://t.co/L2LvIpfQ63;0;0;0;0;;in;452911107;1.66342E+18;1.66342E+18;;;deskydanuaji;1;
Tue May 30 06:04:55 +0000 2023;1.66343E+18;1.66343E+18;Dikenal Sebagai Tempat Healling Aesthetic, Begini Kondisi Jalan di Banda Naira yang Rusak\n\nhttps://t.co/ndsfZUf7ql;0;0;0;0;;in;1.55989E+18;1.66343E+18;1.66343E+18;;;Suara_sumedang;1;
Tue May 30 05:38:47 +0000 2023;1.66342E+18;1.66342E+18;Warga Keluhkan Debu Proyek Hingga Jalan Rusak. https://t.co/UYM5bvUNI6;0;0;0;0;;in;4854433570;1.66342E+18;1.66342E+18;;;rakyatmalukucom;0;
Tue May 30 05:39:27 +0000 2023;1.66342E+18;1.66342E+18;Babinsa Desa Kawengen Koptu Listiyono Koramil14Ungaran Barat bersama Warga Dusun Gendurid Rt 10/01 Melaksanakan Pengecoran jalan yang rusak, agar jalan menjadi bagus dan dapat di lalui warga masyarakat Dusun Gendurid,Desa Kawengen,Kec Ungaran Timur. https://t.co/eImE8c1SV6;0;0;0;0;;in;1.54236E+18;1.66342E+18;1.66342E+18;https://pbs.twimg.com/media/FxWnhNaaMAANT5J.jpg;photo;14ungaran;1;
Tue May 30 06:02:43 +0000 2023;1.66343E+18;1.66343E+18;Jalannya lagi rusak. Nyari jalan tembus belum ketemu, mau balik arah udah lewatin jembatan yang putus. Jadi tetep jalan tapi pelan2 biar motornya ga rusak https://t.co/Tx4b6v7nZu;0;0;0;1;;in;1.18427E+18;1.66343E+18;1.66343E+18;https://pbs.twimg.com/ext_tw_video_thumb/1663425609010397184/pu/img/1vr7pX0OGU4IZj8H.jpg;photo;urnabs_;0;
Tue May 30 05:47:46 +0000 2023;1.66342E+18;1.66342E+18;Selasa tanggal 30/05/ 2023 pukul 07.30 s/d 10.00 wita  bertempat di Jalan Raya jurusan Kebon menuju Peninjoan Desa Peninjoan kecamatan Tembuku telah berlangsung kegiatan gotong royong/kerja bakti merabat beton pinggir  jalan yang rusak dan dengan Biaya Swadaya https://t.co/9z4yENci4c;0;1;0;0;;in;1.33356E+18;1.66342E+18;1.66342E+18;https://pbs.twimg.com/media/FxWpZu7aEAA76IC.jpg;photo;humastembuku;1;
Sun May 28 03:48:26 +0000 2023;1.66267E+18;1.66267E+18;Jembatan Terusan Bojonegoro  - Cepu, inisiatif pemkab Bojonegoro. Murni APBD Bojonegoro\n\nGesture/interaksi Pak Bas tentu refleks mengarah ke yg punya gawe. Dia lah the big bos, inisiator,  juga yg mandori di lapangan\n\ndan gesture Ndoro Ganjar yg pakewuh🤣\nhttps://t.co/hvQTxrUh3K https://t.co/6chisHSTk0;1;0;0;0;;in;209885526;1.66267E+18;1.66267E+18;https://pbs.twimg.com/media/FxL6buPaQAAnwtS.jpg;photo;gloryofnirdev;0;
Tue May 30 06:48:00 +0000 2023;1.66344E+18;1.66344E+18;@mohammedputra @infobdg Tapi klo emng mau idealis sih bisa tapi pasti ada pihak yg merasa dirugikan, dengan siklus perputaran sampah sekarang mnjdi mata pencaharian bnyk org klo emng mau serius bisa diambil jalan tengahnya. Sama anehnya klo ada jalan rusa;0;0;0;0;;in;118640923;1.66E+18;1.66341E+18;;;hanjaniahmad;0;
Tue May 30 04:22:48 +0000 2023;1.6634E+18;1.6634E+18;@kegblgnunfaedh Ges, bapakku pernah kerja lembur sampe MLM. Pake motor butut, motornya mogok tangah jalan. Bapakku cuma punya hp butut dan waktu itu lg rusak. Kita yg di rumah bingung mau cari bapakku dimana. Tengah MLM bapakku sampe rumah nangis sambil n;0;1;0;0;;in;1.22353E+18;1.66317E+18;1.66317E+18;;;Zlf1717;1;
Tue May 30 04:12:08 +0000 2023;1.6634E+18;1.6634E+18;@JhonniSinaga20 @JumintenMumet Jawa Tengah dengan INDONESIA juga beda. \nJawa Tengah dibawah kepemimpinan ganjar, kemiskinan no 2 di pulau Jawa. \nBanjir di semarang dan pantura yg  GP gk bisa atasi sesuai janji kampanyenya di 2013.\nJalan raya banyak yan;0;0;0;2;;in;9.84748E+17;1.66301E+18;1.66301E+18;https://pbs.twimg.com/ext_tw_video_thumb/1663397814548979713/pu/img/yZ2E5y2G8qsVMOpt.jpg;photo;Anaksemut4;0;
Tue May 30 05:00:15 +0000 2023;1.66341E+18;1.66341E+18;[4-end] #JalanRusak #JalanBerlubang #KerusakanJalan #PerbaikanJalan #InfoLaka #Kecelakaan #VideoViral #Viral #FotoViral #BeritaViral #InfoViral #VideoNetizen #VideoWargaPatria #VideoWargaNet #CitizenJournalism;0;0;0;0;;und;100132119;1.66341E+18;1.66341E+18;;;radiopatria;0;
Tue May 30 04:02:49 +0000 2023;1.6634E+18;1.6634E+18;Ratusan Triliun Dana Pemda Mengendap di Bank, Partai Perindo: Seharusnya Bisa Perbaiki Jalan Rusak\nhttps://t.co/kgl4tB338i;0;1;0;0;;in;543264218;1.6634E+18;1.6634E+18;;;GTVID_News;0;
Tue May 30 04:02:55 +0000 2023;1.6634E+18;1.6634E+18;Ratusan Triliun Dana Pemda Mengendap di Bank, Partai Perindo: Seharusnya Bisa Perbaiki Jalan Rusak\nhttps://t.co/ekJ8zGYYZR;0;1;0;0;;in;132078023;1.6634E+18;1.6634E+18;;;OfficialiNewsTV;0;
Tue May 30 04:37:56 +0000 2023;1.6634E+18;1.6634E+18;Ganjar Pranowo menegur warga yang viralkan jalan rusak, saat melakukan pengecekan jalan. Ganjar berpesan pada warga agar tak gampang memviralkan suatu kondisi. \nWarga bisa langsung melapor ke Gubernur atau lewat aplikasi lapor Gub dan juga media sosial pribadinya.\n\n@liputan6 https://t.co/egWOhD9CJ0;0;1;0;0;;in;919590870;1.6634E+18;1.6634E+18;https://pbs.twimg.com/ext_tw_video_thumb/1663404296682213376/pu/img/M_twFtm0ru59kcXe.jpg;photo;Chink_broo;1;
Tue May 30 04:48:52 +0000 2023;1.66341E+18;1.66341E+18;@Heraloebss anjas, uang penjualannya buat benerin jalan yang rusak ke jalan yang benar, memang cerdas bapak aldi gallagher;0;0;0;0;;in;1.2001E+18;1.66312E+18;1.66312E+18;;;fckgbstrd_;1;
Tue May 30 03:44:33 +0000 2023;1.66339E+18;1.66339E+18;BBPJN Sumut 2023, Tuntaskan Perbaikan Jalan Rusak Sesuai Perintah Presiden Jokowi https://t.co/2C0k3csMLj;0;0;0;0;;in;9.65E+17;1.66339E+18;1.66339E+18;;;PelitaIDN;1;
Tue May 30 04:59:52 +0000 2023;1.66341E+18;1.66341E+18;[2] jalan ini belum juga ada perbaikan.\n\nHarapannya, pemerintah segera melakukan perbaikan atau pengaspalan jalan. Menurutnya, kasihan pengguna jalan, utamanya roda 2 atau sepeda motor, saat simpangan dengan truk &amp;;;;;;;;;;;;;;
Tue May 30 04:02:53 +0000 2023;1.6634E+18;1.6634E+18;Ratusan Triliun Dana Pemda Mengendap di Bank, Partai Perindo: Seharusnya Bisa Perbaiki Jalan Rusak\nhttps://t.co/4uB6pOF901;0;1;0;0;;in;61377303;1.6634E+18;1.6634E+18;;;Lintas_MNCTV;1;
Tue May 30 03:36:49 +0000 2023;1.66339E+18;1.66339E+18;@abu_waras Kader Demokrat kritik jalan Jateng padahal pengusung Pilgub🤣🤣,giliran jalan banten rusak diem oposan;0;0;0;0;;in;1677844766;1.66337E+18;1.66337E+18;;;YoSetiabudi;0;
Tue May 30 04:27:00 +0000 2023;1.6634E+18;1.6634E+18;Soroti Ratusan Triliun Dana Pemda Mengendap di Bank, Yerry Tawalujan: Seharusnya Bisa untuk Perbaiki Jalan Rusak.                  https://t.co/vrPDo4Dy9o;0;0;1;0;;in;47274731;1.6634E+18;1.6634E+18;;;okezonenews;1;
Tue May 30 04:47:33 +0000 2023;1.66341E+18;1.66341E+18;@Srik4ndiMuslim2 @P3n99u94t Kalau Sumatera Utara tidak berdiri sendiri sebagai negara merdeka maka akan tetap menanggung hutang negara dan jangan berharap bisa memperbaiki jalan rusak yang ada diwilayahnya. \nKalau berdiri sendiri sebagai negara baru yg b;0;0;0;0;;in;1.65432E+18;1.66283E+18;1.66283E+18;https://pbs.twimg.com/ext_tw_video_thumb/1663403589027627008/pu/img/g8AzqUfHuxk0K2aX.jpg;photo;PrbwSubianto;0;
Tue May 30 04:05:02 +0000 2023;1.6634E+18;1.6634E+18;Padahal anak2nya ga bikin onar karena mikirin image orang tuanya, tapi kok yg imagenya di jaga malah bikin onar dan ngerusak sendiri ya anjir? Gw open aja gitu ya? Rusak semuanya?!;0;0;0;0;;in;1.24183E+18;1.6634E+18;1.6634E+18;;;jl_SamaSama;0;
Tue May 30 04:18:01 +0000 2023;1.6634E+18;1.6634E+18;@geloraco Apakah pak @ganjarpranowo lupa di Jateng saja banyak masalah:\n- Rakyat miskin\n- Upah rendah\n- Banjir\n- Wadas\n- Jalan rusak\n\nBuktikan di Jateng saja dulu pak.;0;0;0;1;;in;1.60377E+18;1.6632E+18;1.6632E+18;;;rangkutifuat;0;
Tue May 30 04:59:33 +0000 2023;1.66341E+18;1.66341E+18;Rudi melalui WhatsApp berbagi informasi kami @radiopatria di 081334256006 pada Selasa 30 Mei 2023 menginformasikan jalan rusak di Jalan Raya Bakung Blitar setelah tikungan jembatan.\nIa mengaku sudah selama 2 tahunan ini bekerja di Bakung &amp;;;;;;;;;;;;;;
Tue May 30 04:02:58 +0000 2023;1.6634E+18;1.6634E+18;Ratusan Triliun Dana Pemda Mengendap di Bank, Partai Perindo: Seharusnya Bisa Perbaiki Jalan Rusak\nhttps://t.co/L6uuVE4hvc;0;0;0;0;;in;375995332;1.6634E+18;1.6634E+18;;;SeputariNews;1;
Tue May 30 04:23:44 +0000 2023;1.6634E+18;1.6634E+18;"Sahabat, jangan lupa saksikan wawancara khusus Pengawasan Pelayanan Publoik dari Masyarakat terkait Jalan Rusak"" bersama Anggota Ombudsman RI, Hery Susanto dalam acara Berkas Kompas di @kompasTV pada hari Selasa (30/5) pukul 23.00 WIB! https://t.co/wFX5iulx3H""";0;0;1;6;;in;125923625;1.6634E+18;1.6634E+18;https://pbs.twimg.com/media/FxWVtXdaAAE1aBw.jpg;photo;OmbudsmanRI137;1;
Tue May 30 01:58:11 +0000 2023;1.66336E+18;1.66336E+18;Batalkan Saja Seluruh Infrastruktur IKN . \n\nPerbaiki Jalan Jalan yg Hancu Lebur,Yg Rusak Parah..di Seluruh Wilayah Indonesia..dari Sabang sampai merauke..itu👉 Jalan nasional..Perekonomian.. Rakyat. \n\nFaham BONG.. Guoblok bin Dungu.;0;0;0;1;;in;1.46182E+18;1.66336E+18;1.66336E+18;;;Mulyawans07gma2;1;
Tue May 30 02:23:57 +0000 2023;1.66337E+18;1.66337E+18;@jokowi Assalamualaikum pak.\nAyoo pak ke Indragiri hulu lagi pak.. ternyata gak hanya Papua yg banyak jalan buruk dan jelek, mayoritas jalan di Riau rusak parah pak.😓 sini pak 🤗 sesekali off-road dijalan berlumpur dan berlubang..jalan loh ya pak,bu;0;0;0;0;;in;8.24115E+17;1.65443E+18;1.65443E+18;;;sarijuwita217;0;
Tue May 30 02:43:16 +0000 2023;1.66338E+18;1.66338E+18;nih yg lain mah pada record diem di tempat biar semua kebagian rekam dojaejung sampe dah selesai jalan, tapi ini 2 mba-mba berhijab pake segala pengen ngedeketin djj dari samping bikin rusak barisan aja ah lu kmpang😒 https://t.co/lu3hEqrMvc;0;0;0;1;;in;191827960;1.66338E+18;1.66338E+18;https://pbs.twimg.com/ext_tw_video_thumb/1663375415816359942/pu/img/z8zGweEUWH6vpipK.jpg;photo;yeolmae9;0;
Tue May 30 03:31:52 +0000 2023;1.66339E+18;1.66339E+18;@jokowi Selain kerusakan lingkungan, tambang ilegal juga mengakibatkan jalan rusak. Potensi terjadinya kecelakaan juga tinggi karena biasanya truk yang digunakan menambang over dimensi over load (ODOL).\n\n@jokowi;0;0;0;5;;in;1.351E+18;1.66338E+18;1.66338E+18;;;PemilihJ;1;
Tue May 30 02:40:40 +0000 2023;1.66337E+18;1.66337E+18;@yaniarsim 1001% BENAR bisa dibuktikan Presiden saja langsung sidak ke lampung melihat kondisi jalan yg rusak karena viral.....belum lagi bnyak kasus2 lainnya akibat tidak ada panutan dan pengawasan yg berjalan....SETUJU NO.VIRAL NO JUSTICE;0;0;0;0;;in;1.06954E+18;1.66337E+18;1.66337E+18;;;Najazi731;1;
Tue May 30 03:14:20 +0000 2023;1.66338E+18;1.66338E+18;@republikaonline Pembangunan apa yg harus dilanjutkan? \n\nIKN? sementara infrastruktur jalan rakyat rusak &gt;;;;;;;;;;;;;;
Tue May 30 02:57:33 +0000 2023;1.66338E+18;1.66338E+18;Dinas PUPR Jombang punya terobosan baru. OPD ini, melaunching aplikasi berbasis web Informasi Dalan Jombang (IDJO). Aplikasi tersebut bertujuan untuk memfasilitasi masyarakat dalam mengadukan jalan rusak yang ada di Jombang.\n\nhttps://t.co/eZvPg7XEtE;0;0;0;0;;in;1.0647E+18;1.66338E+18;1.66338E+18;;;radarjombang;1;
Tue May 30 01:57:12 +0000 2023;1.66336E+18;1.66336E+18;Malu bertanya, sesat di jalan.\nsembarangan bertanya, bikin rusak keadaan.\n\nBertanya baik atau diam.;0;0;0;2;;in;553759785;1.66336E+18;1.66336E+18;;;umithiyah;0;
Tue May 30 03:23:38 +0000 2023;1.66339E+18;1.66339E+18;Bantu jelasin kenapa beberapa hari ini desaku ada pemadaman listrik, cuma tempatku aja apa ada yg lain di daerah Pantura Jateng? Saking desanya yak gppa jalan rusak, sering padam listrik, gppa kan desaa wkwk @patinewscom @pln_123 @tribunjateng @KabupatenPati https://t.co/krcGuGlKBx;0;1;0;0;;in;1.62799E+18;1.66339E+18;1.66339E+18;https://pbs.twimg.com/media/FxWIP2raUAAwdCF.jpg;photo;prstiw_;1;
Tue May 30 03:08:44 +0000 2023;1.66338E+18;1.66338E+18;@OposisiCerdas GK BECUS DAN AMBRURADUL URUS JALAN DI DAERAHNYA SENDIRI, TAPI GAK MALU JANJI PERBAIKI JALAN DI DAERAH LAIN?\n\nJGN2 DEN BOKEP OTAKNYA SUDAH RUSAK TUH? https://t.co/lZzOAfXMxd;0;0;2;6;;in;468252538;1.66326E+18;1.66326E+18;https://pbs.twimg.com/ext_tw_video_thumb/1663381863036239874/pu/img/pXCjkV-gETrIMDQ8.jpg;photo;SlamyHwa;0;
Tue May 30 03:03:08 +0000 2023;1.66338E+18;1.66338E+18;@desiprasetyaa @salimafillah Diangkut pake ekskavator proyek seingetku, terus abis itu rusak 😆\nYaiyalah harusnya kan ekskavasi khusus sama ahlinya.\nSisa kayu2nya pernah ada numpuk di DPUK yg pinggir jalan hahaha;0;0;0;0;;in;269619026;1.66317E+18;1.66317E+18;;;zanuargalang;0;
Tue May 30 03:06:43 +0000 2023;1.66338E+18;1.66338E+18;@tanyakanrl mending dikatain banci daripada muke lo rusak kek jalan di lampung;0;0;0;0;;in;419987771;1.66313E+18;1.66313E+18;;;cokelatkaiju;0;
Tue May 30 02:02:03 +0000 2023;1.66337E+18;1.66337E+18;Viral dulu baru respon itulah salah satu cara jitu cepat direspon 💥\n\nMungkin gak prosedural.. tapi adakah yg salah ???\nBagaimana menurutmu gaes  ???\n\nPigai Kecewa Ganjar Tegur Seniman yang Viralkan Jalan Rusak di Jateng : \nBelum Jadi Presiden Saja...\n\n https://t.co/KoncL1A8MC https://t.co/gekjpJV4Y2;0;1;1;2;;in;1.55213E+18;1.66337E+18;1.66337E+18;https://pbs.twimg.com/media/FxV1sg8agAYEP7T.jpg;photo;yudiyudot99;1;
Tue May 30 03:27:28 +0000 2023;1.66339E+18;1.66339E+18;@awarsena @tvOneNews Klau ngak cawe cawe proyek tersendat , kan cuan nya banyak , sementara jalan di kampung 2 rusak bangunan sekolahan perlu juga diperhatikan;0;0;0;0;;in;1.30766E+18;1.66331E+18;1.66331E+18;;;Puryant79920883;0;
