full_text;annotate;
Padahal anak2nya ga bikin onar karena mikirin image orang tuanya, tapi kok yg imagenya di jaga malah bikin onar dan ngerusak sendiri ya anjir? Gw open aja gitu ya? Rusak semuanya?!;0;
@geloraco Apakah pak @ganjarpranowo lupa di Jateng saja banyak masalah:\n- Rakyat miskin\n- Upah rendah\n- Banjir\n- Wadas\n- Jalan rusak\n\nBuktikan di Jateng saja dulu pak.;0;
"Rudi melalui WhatsApp berbagi informasi kami @radiopatria di 081334256006 pada Selasa 30 Mei 2023 menginformasikan jalan rusak di Jalan Raya Bakung Blitar setelah tikungan jembatan.\nIa mengaku sudah selama 2 tahunan ini bekerja di Bakung &amp; melintas di jalur ini, kondisi kerusakan https://t.co/iR1zOb27tO";1;
Ratusan Triliun Dana Pemda Mengendap di Bank, Partai Perindo: Seharusnya Bisa Perbaiki Jalan Rusak\nhttps://t.co/L6uuVE4hvc;1;
"Sahabat, jangan lupa saksikan wawancara khusus Pengawasan Pelayanan Publoik dari Masyarakat terkait Jalan Rusak"" bersama Anggota Ombudsman RI, Hery Susanto dalam acara Berkas Kompas di @kompasTV pada hari Selasa (30/5) pukul 23.00 WIB! https://t.co/wFX5iulx3H""";1;
Batalkan Saja Seluruh Infrastruktur IKN . \n\nPerbaiki Jalan Jalan yg Hancu Lebur,Yg Rusak Parah..di Seluruh Wilayah Indonesia..dari Sabang sampai merauke..itu👉 Jalan nasional..Perekonomian.. Rakyat. \n\nFaham BONG.. Guoblok bin Dungu.;1;
@jokowi Assalamualaikum pak.\nAyoo pak ke Indragiri hulu lagi pak.. ternyata gak hanya Papua yg banyak jalan buruk dan jelek, mayoritas jalan di Riau rusak parah pak.😓 sini pak 🤗 sesekali off-road dijalan berlumpur dan berlubang..jalan loh ya pak,bukan lintasan balap off-road. Tq pak;0;
nih yg lain mah pada record diem di tempat biar semua kebagian rekam dojaejung sampe dah selesai jalan, tapi ini 2 mba-mba berhijab pake segala pengen ngedeketin djj dari samping bikin rusak barisan aja ah lu kmpang😒 https://t.co/lu3hEqrMvc;0;
@jokowi Selain kerusakan lingkungan, tambang ilegal juga mengakibatkan jalan rusak. Potensi terjadinya kecelakaan juga tinggi karena biasanya truk yang digunakan menambang over dimensi over load (ODOL).\n\n@jokowi;1;
@yaniarsim 1001% BENAR bisa dibuktikan Presiden saja langsung sidak ke lampung melihat kondisi jalan yg rusak karena viral.....belum lagi bnyak kasus2 lainnya akibat tidak ada panutan dan pengawasan yg berjalan....SETUJU NO.VIRAL NO JUSTICE;1;
"@republikaonline Pembangunan apa yg harus dilanjutkan? \n\nIKN? sementara infrastruktur jalan rakyat rusak &gt;36%, trans kalimantan dan Papua tdk ada progres.\nKreta cepat? TOL laut jokowi tdk serius dikembangkan. \nHutang? Hutang naik 31% setiap tahun, tapi pendapatan per kapita cm rata2 5%.\nAMBYAR";0;
Dinas PUPR Jombang punya terobosan baru. OPD ini, melaunching aplikasi berbasis web Informasi Dalan Jombang (IDJO). Aplikasi tersebut bertujuan untuk memfasilitasi masyarakat dalam mengadukan jalan rusak yang ada di Jombang.\n\nhttps://t.co/eZvPg7XEtE;1;
Malu bertanya, sesat di jalan.\nsembarangan bertanya, bikin rusak keadaan.\n\nBertanya baik atau diam.;0;
Bantu jelasin kenapa beberapa hari ini desaku ada pemadaman listrik, cuma tempatku aja apa ada yg lain di daerah Pantura Jateng? Saking desanya yak gppa jalan rusak, sering padam listrik, gppa kan desaa wkwk @patinewscom @pln_123 @tribunjateng @KabupatenPati https://t.co/krcGuGlKBx;1;
@OposisiCerdas GK BECUS DAN AMBRURADUL URUS JALAN DI DAERAHNYA SENDIRI, TAPI GAK MALU JANJI PERBAIKI JALAN DI DAERAH LAIN?\n\nJGN2 DEN BOKEP OTAKNYA SUDAH RUSAK TUH? https://t.co/lZzOAfXMxd;0;
@desiprasetyaa @salimafillah Diangkut pake ekskavator proyek seingetku, terus abis itu rusak 😆\nYaiyalah harusnya kan ekskavasi khusus sama ahlinya.\nSisa kayu2nya pernah ada numpuk di DPUK yg pinggir jalan hahaha;0;
@tanyakanrl mending dikatain banci daripada muke lo rusak kek jalan di lampung;0;
Viral dulu baru respon itulah salah satu cara jitu cepat direspon 💥\n\nMungkin gak prosedural.. tapi adakah yg salah ???\nBagaimana menurutmu gaes  ???\n\nPigai Kecewa Ganjar Tegur Seniman yang Viralkan Jalan Rusak di Jateng : \nBelum Jadi Presiden Saja...\n\n https://t.co/KoncL1A8MC https://t.co/gekjpJV4Y2;1;
@awarsena @tvOneNews Klau ngak cawe cawe proyek tersendat , kan cuan nya banyak , sementara jalan di kampung 2 rusak bangunan sekolahan perlu juga diperhatikan;0;
Babinsa dan Warga Desa Sekancing Ilir Gotong Royong Perbaiki Jalan rusak \nhttps://t.co/hgZwlRmLev https://t.co/vp4gzzT6XQ;1;
Tak Seperti Viky, Septi Siswi Kelas 3 SD Sekolah Jalan Kaki dari Kampung Mati Lewat Jembatan Rusak\n \nhttps://t.co/lGq7sDQxJe lewat @tribunnews;1;
"Jualan kemiskinan, wadas, jalan rusak, E KTP tapi semua tak sesuai data n fakta😂😂\nMain aje ke Jateng biar gak bego Amet, lo bandingin yang penduduk kecil APBD 2x lipat era majikan lu @aniesbaswedan https://t.co/kGlQKuzeoG""";0;
LSI Denny JA: Kemiskinan Masih Tinggi di Jateng, Publik Ragukan Ganjar dalam Isu Ekonomi https://t.co/sAspaeZ3jA;1;
Jalan rusak di Habornas, Kec. Habinsaran, Kab. Toba, Sumut Bapak Presiden @jokowi \nMohon Bapak Menteri Basuki H @KementrianPU\nDimasukkan dalam pioritas.\n\nhttps://t.co/5hZK6EYFAp;1;
Atensi perbaikan Jalan Trengguli 1 Denpasar, oleh tim @/dpupr.denpasarkota \n#DPUPRKotaDenpasar #Denpasarkota #jalanrusak #prodenpasar https://t.co/F7BFMe7Dm4;1;
@_ch3v3r_stone__ Untuk ❓Apa.. Buat Siapa IKN? \n\nSementara Jalan Jalan Umum Untuk Menggulirkan Perekonomian Rakyat.. \n\nHancur.. Lebur, Rusak Parah.. \n\nHampir Rata di Wilayah Nusantara.. \n\nIbu Pertiwi. \n\nBatalkan Saja Infrastruktur IKN.;0;
Rezim Jokowi kasih jalan gerombolannya jualan tanah air. \n\nRusak tanah air kita kalau pasirnya dikeruk terus: \n\nEkosistem laut rusak, keberadaan pulau2 kecil terancam. \n\nBahaya Dampak Ekspor Pasir Laut\nhttps://t.co/JhMuMHpWRZ\n\nVideo: banten02 \n\n#JokowiPresidenGagalTotal https://t.co/dX6xCO9qPg;0;
Semoga keputusan ini dibatalkan. Kerugian lingkungan akan  jauh lebih besar. Climate change sudah terasakan dan berdampak. Janganlah diperparah dg penambangan pasir laut 🙏🙏🙏🙏;1;
Kurang dari empat bulan, Gubernur Sumut Edy Rahmayadi akan mengakhiri jabatannya. Hampir tak ada pembangunan signifikan di masa Edy. Pembangunan sekolah mangrak, rumah sakit baru terbengkalai, jalan rusak tak tertangani. #Nusantara #AdadiKompas\n\nhttps://t.co/qPJyR9OjUx;0;
@KompasTV Jalan rusak parah ada indikasi korupsi diam saja pura pura bisu...masalah pungli cari perhatian....MAHASISWA LAMPUNG KAPAN KALIAN CERDASNYA ?;0;
Kurang dari empat bulan, Gubernur Sumut Edy Rahmayadi akan mengakhiri jabatannya. Hampir tak ada pembangunan signifikan di masa Edy. Pembangunan sekolah mangrak, rumah sakit baru terbengkalai, jalan rusak tak tertangani. #Nusantara #AdadiKompas\n\nhttps://t.co/foQLGHz9PC;0;
@geloraco jauh2 pak ke banten daerah sendiri aja jalan banyak yg rusak;0;
"[3] Monumen PETA, Jalan Dr Sutomo &amp; Jalan Sultan Agung yang merupakan jalan menuju ke Istana Gebang.\n\nMenurutnya, pembenahan yang dilakukan di 4 ruas jalan itu di antaranya saluran air &amp; trotoar. Sebab, trotoar di area wisata itu banyak yang sudah rusak atau retak.";1;
@RadioElshinta @TMCPoldaMetro Gila banyak banget pelanggaran didepan penegak hukum dan dibiarkan saja... Gak pakai helm, marka jalan.. Duh rusak deh negara hukum ini;0;
@OposisiCerdas Jalan rusak masih gak apa2, tp industri2 banten yg redup apakah dia punya siasat yg detail ?\n\nMeragukan.;0;
Presiden palsu, pemenang tendernya palsu. \nNilai proyek Rp63 miliar. Padahal ini baru digaungkan Jokowi beberapa hari lalu lho. \n\n‘Alamat Palsu’ Pemenang Tender Jalan Rusak di Lampung Lolos Radar KPK\nhttps://t.co/km3S7oCpH3\n\n#JokowiPresidenGagalTotal \n#JokowiPresidenGagalTotal;0;
@NataliusPigai2 Bung @NataliusPigai2 \n\nBuktikan bahwa Ganjar menindaklanjuti viral jalan rusak ke kantor polisi, satpol, ormas masyarakat?\n\nBung, saatnya anak anda mengantikan anda dengan strategi berbeda. Istirahatlah!! \n\n@Uki23 @budimandjatmiko @GunRomli @teddy\n\nhttps://t.co/iwqLKF8QjG;0;
@tempodotco Catatlah sejarah yang dapat membuat anak cucu bangga pak...jangan rusak yang sudah jalan 9 tahun ini....jadilah negarawan agar dapat selalu dibanggakan. kenapa harus mendahului tuhan pak? belum tentu kenyataan seperti yang bapak pikirkan...;0;
"Saya kira Pak Ganjar mesti hargai hak rakyat soal kebebasan ekspresi mereka. Itu kritikan melalui seni. Banyak orang nilai belum jadi Presiden saja sudah batasi kebebasan sipil &amp; para. Seniman. https://t.co/yHiqA0yolT";1;
Ganjar Berkomitmen Lanjutkan Pembangunan Jalan di Banten, Warganet: Lah Wilayah Dia aja Gak Becus https://t.co/UwyHqmU9Xb;0;
amiiiin bu. jadi inget ekspor pasir besi di pantai cipatujah, pantai rusak, jalan ancur.;0;
Jalan ditempat bapak banyak rusak;0;
Kurang dari empat bulan, Gubernur Sumut Edy Rahmayadi akan mengakhiri jabatannya. Hampir tak ada pembangunan signifikan di masa Edy. Pembangunan sekolah mangrak, rumah sakit baru terbengkalai, jalan rusak tak tertangani. #Nusantara #AdadiKompas\n\n https://t.co/PT55o14lFS;0;
Taken yesterday. Kondisi jalan yang bagus (gada rusak), mitigasi yang terstruktur (pelebaran jalan dari 2 ke 3 kolom). Sekalipun agak sedih pembatas yang luas dijadikan taman jadi diperkecil dari 2 sisi.\n\nNext plan, kawasan ini juga masuk perencanaan fly over. https://t.co/2ZE2zipCSY;1;
Ndoro @ganjarpranowo suka kita viralkan jalan yang rusak. \n\nGanjar Tegur Warga yang Viralkan Jalan Rusak Lewat Aksi Teatrikal di Batang - https://t.co/zEgjUiniuK\n\n#JokowiPresidenGagalTotal \n#JokowiPresidenGagalTotal https://t.co/z4o7SFNmmV;0;
Reses di Mowila, Masyarakat Keluhkan Jalan Rusak kepada Nurlin Surunuddin\nhttps://t.co/fMwR7hQFb6;1;
Mau Lapor Jalan Rusak di Jombang?  Lewat IDJO Aja https://t.co/CgeltkDQPy;1;
Pigai Kecewa Ganjar Tegur Seniman yang Viralkan Jalan Rusak di Jateng: Belum Jadi Presiden Saja... https://t.co/xMPbcnFSCt;0;
@Fita_Shanty @ganjarpranowo 40% JALAN DI JAWA TENGAH RUSAK, APA PRETASINYA GANJAR COBA SEBUTKAN..? https://t.co/bznOWgU86N;0;
@Rahmardika94 @Scafold2 @ch_chotimah2 @ganjarpranowo Mengurus Jawa Tengah yg kecil aja, kemiskinan no 2 di pulau Jawa. \nBanjir di semarang dan pantura tak bisa GP atasi. \nJalan raya banyak rusak berat dan merata di Jawa Tengah. \nUMR rendah. \nKarena UMR rendah, rakyat Jawa Tengah lebih senang cari uang di luar Jawa Tengah. https://t.co/36qBMarzVt;0;
Ndoro @ganjarpranowo gak ngeri kalo otaknya nanti rusak? \n\nApa mungkin gara-gara itu maka anda tdk urus banjir rob, jalan provinsi banyak rusak di Jateng, kemiskinan parah, 45rb anak putus sekolah setiap tahun krn masalah biaya??;0;
Ndoro @ganjarpranowo suka kita viralkan jalan yang rusak. \n\nGanjar Tegur Warga yang Viralkan Jalan Rusak Lewat Aksi Teatrikal di Batang - https://t.co/zEgjUiniuK\n\n#JokowiPresidenGagalTotal \n#JokowiPresidenGagalTotal https://t.co/RbRSHZPxIY;0;
@Addin_04 @detikcom ngga kasian sama diri sendiri? dah jelas banyak yang ga sepakat sama kamu ya jelas masalahnya ada di kamu. evaluasi diri, banyakin baca buku, cari lingkungan yang bagus, kuliah yang tinggi. otakmu itu udah rusak, jalan pikiranmu dah ga bener. masih bisa kok berubah jadi lbh baik;0;
Menohok! Natalius Pigai Kecewa Ganjar Pranowo Tegur Seniman yang Viralkan Jalan Rusak di Jawa Tengah: Belum Jadi Presiden Saja... https://t.co/9Ia03bXzTA;0;
@detikcom logika aja deh : kalau gak viral gak bakal ditangai tuh kasus\n\ncontoh paling simple : jalan di lampung, kalau gak viral pasti sampe skrg masih rusak jalannya;0;
jika melepaskan mu adalah jalan yang terbaik, maka akan aku rusak jalan nya.;0;
No time to get ready for your meeting? Use xpression camera to be dressed for all occasions.;0;
Rekam jejak.. https://t.co/C539hTZLgL;0;
@collegemenfess ajar, masih kurangnya guru krn (1) jarak, (2) akses jalan sulit (rusak parah), (3) biaya terbatas (guru honorer/GTT bayarannya 300k per bulan, sekolah jd tidak bisa memaksa GTT tsb kl misal tidak bs masuk, biasanya krn bensin habis, dsb).\nSelain itu, murid²nya juga sangat— cont.;1;
Geram Warga Lempari Lumpur Kantor Bupati Tator gegara Jalan Rusak 17 Tahun https://t.co/O1f36FGHxb;0;
Babinsa Kodim 1626/Bangli gotong royong bersama warga masyarakat di desa binaan kegiatan rabat beton perbaikan jalan yang rusak akibat tergerus air hujan di Banjar Suung Kaja Desa Peninjoan Kec. Tembuku Kab. Bangli, Senin (29/5/23).\n\n#tniadmengabdimembangunbersamarakyat https://t.co/Uupp7EwLgI;1;
"@OposisiCerdas Katanya kl ada jalan rusak silahkan laporkan lha ini sdh dilaporkan kok dimarahin""...nasib'e wong cilik salah terus""";0;
Rezim Jokowi kasih jalan gerombolannya jualan tanah air. \n\nRusak tanah air kita kalau pasirnya dikeruk terus: \nEkosistem laut rusak, keberadaan pulau2 kecil terancam. \n\nBahaya Dampak Ekspor Pasir Laut\nhttps://t.co/IE9qedzdaZ\n\nVideo: banten02 \n \n#JokowiPresidenGagalTotal https://t.co/h8uNrqLUTG;0;
@sosmedkeras Penyalahgunaan bahu jalan terlebih penutupan saluran sdh marak di seluruh tanah air. Akibatnya saluran mampet tak terawat sehingga genangan air plus banjir dan umur jalan semakin cepat rusak. Semua pejabat d daerah yg bertanggung jawab tdk tau atau tdk mw tau?;1;
Lebih dari 100 Kilometer Jalan di Banjarnegara Rusak, Terbanyak di Daerah Pegunungan https://t.co/r2A9BTzdta\n\n#Banjarnegara #InfoSeputarBanjarnegara https://t.co/QXS5SzTrLb;0;
@OposisiCerdas Karep sampeyan iki opo mas @ganjarpranowo Di Jateng saja msh bnyk jalan rusak.Adoh2 mas....golek perkoro.;0;
@IvannaulamriaLS Yang di jalan rusak itu bukan kak?;0;
Pigai Kecewa Ganjar Tegur Seniman yang Viralkan Jalan Rusak di Jateng: Belum Jadi Presiden Saja Sudah...\nhttps://t.co/yngJTL2Au6;0;
@0tk0il Kalau di Jateng namanya gulo kacang Man66ots tapi suka dibikin bercandaan jalan rusak kayak gulo kacang , karena bentuknya gak beraturan 😅😂 ... https://t.co/GFaW4WzhHx;0;
Miris! Jenazah Ditandu 15 Km di Mamasa gegara Jalan Rusak Parah https://t.co/vC1VVNzs2c;0;
@Wahyudi87677017 @saifulmujani @muchlis_ar @saidiman Rumah DP 0 malah dilanjutin seperti program sumur resepan di era plt gub.dki terlama krn biasanya plt hanya 6 bln ini 2 thn bakal menjabat 😀😀😀;0;
@rrrrrruto @youknowmelahh @tanyarlfes Iyaaaa betul, tapi jalan nya rusak parah woy;0;
DEMI TUHAN GUE BOYOT BANGET\njadi tadi kan gue masang earphone terus kayak kok aneh sih suaranya kayak mendep gitu GUE KIRA RUSAK KAN gegara gue bawa pas jalan-jalan kemaren terus gue taro tas jadi kusut TAUNYA GUE MASANGNYA GA BENER;0;
